customer_key,user_id,region,primary_device,first_touch_date,last_touch_date,total_touchpoints,conversion_flag,conversion_date,revenue,channel,campaign,first_touch_date_quarter,first_touch_date_month_name,first_touch_date_day_name,first_touch_date_day_of_week,first_touch_date_week,first_touch_date_hour,first_touch_date_is_weekend,last_touch_date_quarter,last_touch_date_month_name,last_touch_date_day_name,last_touch_date_day_of_week,last_touch_date_week,last_touch_date_hour,last_touch_date_is_weekend,conversion_date_quarter,conversion_date_month_name,conversion_date_day_name,conversion_date_day_of_week,conversion_date_week,conversion_date_hour,conversion_date_is_weekend
26,U00026,South America,Tablet,2025-01-02 23:24:25+00:00,2025-01-13 16:24:25+00:00,5,True,2025-01-15 21:24:25+00:00,163.6,Google Ads,Competitor Search,1,January,Thursday,3,1,23,False,1,January,Monday,0,3,16,False,1.0,January,Wednesday,2.0,3,21.0,False
27,U00027,North America,Desktop,2025-03-10 12:27:53+00:00,2025-03-24 10:27:00+00:00,7,True,2025-03-26 07:27:00+00:00,1194.81,Tiktok Ads,Awareness Blast,1,March,Monday,0,11,12,False,1,March,Monday,0,13,10,False,1.0,March,Wednesday,2.0,13,7.0,False
28,U00028,Europe,Mobile,2025-04-14 23:07:06+00:00,2025-05-04 01:07:06+00:00,7,True,2025-05-04 11:07:06+00:00,172.41,Organic,Organic Landing,2,April,Monday,0,16,23,False,2,May,Sunday,6,18,1,True,2.0,May,Sunday,6.0,18,11.0,True
29,U00029,Asia Pacific,Mobile,2025-04-12 02:53:45+00:00,2025-04-17 10:53:45+00:00,5,False,,0.0,Tiktok Ads,Influencer Push,2,April,Saturday,5,15,2,True,2,April,Thursday,3,16,10,False,,,,,,,False
30,U00030,Asia Pacific,Desktop,2025-02-06 13:13:00+00:00,2025-02-12 05:13:50+00:00,3,False,,0.0,Organic,SEO Blog,1,February,Thursday,3,6,13,False,1,February,Wednesday,2,7,5,False,,,,,,,False
31,U00031,Asia Pacific,Mobile,2025-04-03 19:12:00+00:00,2025-04-12 10:12:00+00:00,3,False,,0.0,Organic,SEO Blog,2,April,Thursday,3,14,19,False,2,April,Saturday,5,15,10,True,,,,,,,False
32,U00032,South America,Desktop,2025-05-29 23:13:39+00:00,2025-06-12 15:13:00+00:00,7,True,2025-06-11 14:13:39+00:00,1051.71,Tiktok Ads,UGC Campaign,2,May,Thursday,3,22,23,False,2,June,Thursday,3,24,15,False,2.0,June,Wednesday,2.0,24,14.0,False
33,U00033,Europe,Mobile,2025-06-16 05:15:18+00:00,2025-06-20 13:15:18+00:00,2,False,,0.0,Google Ads,Generic Search,2,June,Monday,0,25,5,False,2,June,Friday,4,25,13,False,,,,,,,False
34,U00034,South America,Desktop,2025-02-22 17:42:00+00:00,2025-03-09 19:42:00+00:00,7,False,,0.0,Tiktok Ads,UGC Campaign,1,February,Saturday,5,8,17,True,1,March,Sunday,6,10,19,True,,,,,,,False
35,U00035,Europe,Mobile,2025-01-18 18:57:52+00:00,2025-02-03 07:57:52+00:00,6,False,,0.0,Organic,SEO Blog,1,January,Saturday,5,3,18,True,1,February,Monday,0,6,7,False,,,,,,,False
36,U00036,Asia Pacific,Mobile,2025-04-06 13:14:00+00:00,2025-04-14 14:14:36+00:00,3,False,,0.0,Google Ads,Competitor Search,2,April,Sunday,6,14,13,True,2,April,Monday,0,16,14,False,,,,,,,False
37,U00037,North America,Mobile,2025-02-13 08:35:00+00:00,2025-03-01 08:35:00+00:00,7,False,,0.0,Organic,SEO Blog,1,February,Thursday,3,7,8,False,1,March,Saturday,5,9,8,True,,,,,,,False
38,U00038,North America,Mobile,2025-05-16 15:05:37+00:00,2025-05-21 13:05:37+00:00,3,False,,0.0,Tiktok Ads,UGC Campaign,2,May,Friday,4,20,15,False,2,May,Wednesday,2,21,13,False,,,,,,,False
39,U00039,Asia Pacific,Desktop,2025-03-23 00:09:50+00:00,2025-04-10 23:09:50+00:00,6,True,2025-04-12 04:09:50+00:00,713.76,Organic,SEO Blog,1,March,Sunday,6,12,0,True,2,April,Thursday,3,15,23,False,2.0,April,Saturday,5.0,15,4.0,True
40,U00040,North America,Mobile,2025-04-30 01:40:33+00:00,2025-05-01 14:40:00+00:00,2,True,2025-05-04 09:40:00+00:00,614.03,Google Ads,Generic Search,2,April,Wednesday,2,18,1,False,2,May,Thursday,3,18,14,False,2.0,May,Sunday,6.0,18,9.0,True
41,U00041,Asia Pacific,Tablet,2025-04-29 04:14:53+00:00,2025-05-08 19:14:00+00:00,5,False,,0.0,Google Ads,Generic Search,2,April,Tuesday,1,18,4,False,2,May,Thursday,3,19,19,False,,,,,,,False
42,U00042,Asia Pacific,Mobile,2025-04-06 13:50:00+00:00,2025-04-27 10:50:12+00:00,7,False,,0.0,Tiktok Ads,UGC Campaign,2,April,Sunday,6,14,13,True,2,April,Sunday,6,17,10,True,,,,,,,False
43,U00043,Europe,Desktop,2025-05-21 14:10:16+00:00,2025-05-29 03:10:00+00:00,3,False,,0.0,Organic,Organic Landing,2,May,Wednesday,2,21,14,False,2,May,Thursday,3,22,3,False,,,,,,,False
44,U00044,North America,Tablet,2025-04-27 17:41:17+00:00,2025-04-30 10:41:00+00:00,3,False,,0.0,Google Ads,Generic Search,2,April,Sunday,6,17,17,True,2,April,Wednesday,2,18,10,False,,,,,,,False
45,U00045,South America,Desktop,2025-04-10 07:59:06+00:00,2025-04-16 16:59:00+00:00,3,False,,0.0,Facebook Ads,Lookalike Audience,2,April,Thursday,3,15,7,False,2,April,Wednesday,2,16,16,False,,,,,,,False
46,U00046,South America,Tablet,2025-05-25 01:26:00+00:00,2025-06-09 05:26:00+00:00,5,False,,0.0,Google Ads,Brand Search,2,May,Sunday,6,21,1,True,2,June,Monday,0,24,5,False,,,,,,,False
47,U00047,Asia Pacific,Mobile,2025-03-16 00:40:00+00:00,2025-03-28 10:40:29+00:00,5,False,,0.0,Organic,SEO Blog,1,March,Sunday,6,11,0,True,1,March,Friday,4,13,10,False,,,,,,,False
48,U00048,South America,Tablet,2025-04-07 13:18:24+00:00,2025-04-15 07:18:00+00:00,3,False,,0.0,Tiktok Ads,Influencer Push,2,April,Monday,0,15,13,False,2,April,Tuesday,1,16,7,False,,,,,,,False
49,U00049,Asia Pacific,Mobile,2025-05-30 00:18:00+00:00,2025-06-05 17:18:10+00:00,4,False,,0.0,Tiktok Ads,Influencer Push,2,May,Friday,4,22,0,False,2,June,Thursday,3,23,17,False,,,,,,,False
50,U00050,Asia Pacific,Mobile,2025-04-09 05:20:41+00:00,2025-04-18 01:20:41+00:00,5,True,2025-04-20 11:20:41+00:00,238.64,Facebook Ads,Lookalike Audience,2,April,Wednesday,2,15,5,False,2,April,Friday,4,16,1,False,2.0,April,Sunday,6.0,16,11.0,True
51,U00051,Asia Pacific,Desktop,2025-04-09 16:35:00+00:00,2025-04-23 18:35:00+00:00,6,False,,0.0,Google Ads,Generic Search,2,April,Wednesday,2,15,16,False,2,April,Wednesday,2,17,18,False,,,,,,,False
52,U00052,Europe,Desktop,2025-04-20 08:40:05+00:00,2025-04-24 16:40:05+00:00,3,False,,0.0,Organic,SEO Blog,2,April,Sunday,6,16,8,True,2,April,Thursday,3,17,16,False,,,,,,,False
53,U00053,South America,Desktop,2025-02-24 21:49:00+00:00,2025-03-12 23:49:44+00:00,6,False,,0.0,Facebook Ads,Retargeting,1,February,Monday,0,9,21,False,1,March,Wednesday,2,11,23,False,,,,,,,False
54,U00054,Europe,Desktop,2025-01-03 18:15:00+00:00,2025-01-19 09:15:00+00:00,7,False,,0.0,Tiktok Ads,UGC Campaign,1,January,Friday,4,1,18,False,1,January,Sunday,6,3,9,True,,,,,,,False
55,U00055,Europe,Mobile,2025-02-08 15:45:00+00:00,2025-02-16 12:45:00+00:00,4,False,,0.0,Tiktok Ads,Awareness Blast,1,February,Saturday,5,6,15,True,1,February,Sunday,6,7,12,True,,,,,,,False
56,U00056,Europe,Tablet,2025-05-18 18:01:00+00:00,2025-05-21 15:01:00+00:00,3,False,,0.0,Organic,SEO Blog,2,May,Sunday,6,20,18,True,2,May,Wednesday,2,21,15,False,,,,,,,False
57,U00057,Europe,Desktop,2025-03-10 06:10:57+00:00,2025-03-21 07:10:00+00:00,8,False,,0.0,Tiktok Ads,UGC Campaign,1,March,Monday,0,11,6,False,1,March,Friday,4,12,7,False,,,,,,,False
58,U00058,North America,Desktop,2025-05-22 11:30:13+00:00,2025-05-30 09:30:13+00:00,4,False,,0.0,Google Ads,Brand Search,2,May,Thursday,3,21,11,False,2,May,Friday,4,22,9,False,,,,,,,False
59,U00059,Europe,Desktop,2025-01-12 01:11:00+00:00,2025-01-18 05:11:21+00:00,3,False,,0.0,Google Ads,Generic Search,1,January,Sunday,6,2,1,True,1,January,Saturday,5,3,5,True,,,,,,,False
60,U00060,Asia Pacific,Desktop,2025-04-20 20:46:00+00:00,2025-04-24 01:46:00+00:00,4,False,,0.0,Facebook Ads,Lookalike Audience,2,April,Sunday,6,16,20,True,2,April,Thursday,3,17,1,False,,,,,,,False
61,U00061,Asia Pacific,Mobile,2025-04-09 01:06:56+00:00,2025-04-09 16:06:56+00:00,2,False,,0.0,Google Ads,Brand Search,2,April,Wednesday,2,15,1,False,2,April,Wednesday,2,15,16,False,,,,,,,False
62,U00062,North America,Tablet,2025-04-18 11:15:44+00:00,2025-04-26 15:15:00+00:00,5,False,,0.0,Facebook Ads,Lookalike Audience,2,April,Friday,4,16,11,False,2,April,Saturday,5,17,15,True,,,,,,,False
63,U00063,South America,Desktop,2025-02-01 17:21:00+00:00,2025-02-07 03:21:17+00:00,3,False,,0.0,Tiktok Ads,UGC Campaign,1,February,Saturday,5,5,17,True,1,February,Friday,4,6,3,False,,,,,,,False
64,U00064,Europe,Mobile,2025-05-22 07:45:25+00:00,2025-05-29 01:45:25+00:00,4,False,,0.0,Tiktok Ads,UGC Campaign,2,May,Thursday,3,21,7,False,2,May,Thursday,3,22,1,False,,,,,,,False
65,U00065,North America,Mobile,2025-01-18 08:36:06+00:00,2025-01-26 12:36:06+00:00,7,True,2025-01-29 02:36:06+00:00,360.56,Google Ads,Generic Search,1,January,Saturday,5,3,8,True,1,January,Sunday,6,4,12,True,1.0,January,Wednesday,2.0,5,2.0,False
66,U00066,North America,Tablet,2025-06-03 04:28:00+00:00,2025-06-06 01:28:38+00:00,4,False,,0.0,Organic,SEO Blog,2,June,Tuesday,1,23,4,False,2,June,Friday,4,23,1,False,,,,,,,False
67,U00067,South America,Mobile,2025-04-20 14:31:00+00:00,2025-05-08 06:31:52+00:00,7,False,,0.0,Organic,Organic Landing,2,April,Sunday,6,16,14,True,2,May,Thursday,3,19,6,False,,,,,,,False
68,U00068,South America,Tablet,2025-03-17 18:19:00+00:00,2025-04-09 07:19:00+00:00,7,True,2025-04-11 12:19:00+00:00,481.92,Google Ads,Competitor Search,1,March,Monday,0,12,18,False,2,April,Wednesday,2,15,7,False,2.0,April,Friday,4.0,15,12.0,False
69,U00069,South America,Mobile,2025-01-27 10:37:33+00:00,2025-01-31 09:37:00+00:00,4,False,,0.0,Tiktok Ads,UGC Campaign,1,January,Monday,0,5,10,False,1,January,Friday,4,5,9,False,,,,,,,False
70,U00070,North America,Tablet,2025-04-16 22:14:53+00:00,2025-04-28 14:14:53+00:00,5,False,,0.0,Tiktok Ads,Awareness Blast,2,April,Wednesday,2,16,22,False,2,April,Monday,0,18,14,False,,,,,,,False
71,U00071,North America,Mobile,2025-03-12 02:56:16+00:00,2025-03-18 05:56:16+00:00,3,False,,0.0,Tiktok Ads,Awareness Blast,1,March,Wednesday,2,11,2,False,1,March,Tuesday,1,12,5,False,,,,,,,False
72,U00072,North America,Desktop,2025-04-09 03:54:39+00:00,2025-04-13 23:54:00+00:00,3,False,,0.0,Organic,Organic Landing,2,April,Wednesday,2,15,3,False,2,April,Sunday,6,15,23,True,,,,,,,False
73,U00073,North America,Mobile,2025-01-18 13:26:00+00:00,2025-02-04 20:26:24+00:00,7,False,,0.0,Facebook Ads,Retargeting,1,January,Saturday,5,3,13,True,1,February,Tuesday,1,6,20,False,,,,,,,False
74,U00074,North America,Mobile,2025-01-13 06:05:12+00:00,2025-01-22 11:05:12+00:00,4,False,,0.0,Tiktok Ads,UGC Campaign,1,January,Monday,0,3,6,False,1,January,Wednesday,2,4,11,False,,,,,,,False
75,U00075,South America,Mobile,2025-05-15 13:36:08+00:00,2025-05-28 17:36:08+00:00,7,False,,0.0,Google Ads,Brand Search,2,May,Thursday,3,20,13,False,2,May,Wednesday,2,22,17,False,,,,,,,False
76,U00076,Europe,Mobile,2025-02-22 03:25:42+00:00,2025-03-01 06:25:42+00:00,3,False,,0.0,Google Ads,Generic Search,1,February,Saturday,5,8,3,True,1,March,Saturday,5,9,6,True,,,,,,,False
77,U00077,South America,Desktop,2025-03-13 22:39:36+00:00,2025-03-21 21:39:00+00:00,5,False,,0.0,Tiktok Ads,Awareness Blast,1,March,Thursday,3,11,22,False,1,March,Friday,4,12,21,False,,,,,,,False
78,U00078,Asia Pacific,Tablet,2025-02-01 04:23:00+00:00,2025-02-16 17:23:04+00:00,6,False,,0.0,Tiktok Ads,Awareness Blast,1,February,Saturday,5,5,4,True,1,February,Sunday,6,7,17,True,,,,,,,False
79,U00079,Asia Pacific,Desktop,2025-06-23 23:23:00+00:00,2025-07-04 09:23:00+00:00,5,False,,0.0,Tiktok Ads,Influencer Push,2,June,Monday,0,26,23,False,3,July,Friday,4,27,9,False,,,,,,,False
80,U00080,Europe,Desktop,2025-01-20 14:00:18+00:00,2025-01-29 21:00:18+00:00,5,False,,0.0,Tiktok Ads,UGC Campaign,1,January,Monday,0,4,14,False,1,January,Wednesday,2,5,21,False,,,,,,,False
81,U00081,Europe,Tablet,2025-04-14 19:32:00+00:00,2025-04-18 12:32:36+00:00,2,False,,0.0,Google Ads,Competitor Search,2,April,Monday,0,16,19,False,2,April,Friday,4,16,12,False,,,,,,,False
82,U00082,North America,Tablet,2025-01-25 03:42:00+00:00,2025-01-31 12:42:00+00:00,5,False,,0.0,Google Ads,Brand Search,1,January,Saturday,5,4,3,True,1,January,Friday,4,5,12,False,,,,,,,False
83,U00083,South America,Tablet,2025-05-03 12:53:00+00:00,2025-05-15 00:53:45+00:00,5,False,,0.0,Organic,Organic Landing,2,May,Saturday,5,18,12,True,2,May,Thursday,3,20,0,False,,,,,,,False
84,U00084,Europe,Tablet,2025-02-25 04:49:36+00:00,2025-03-05 12:49:00+00:00,5,True,2025-03-04 18:49:36+00:00,671.97,Organic,Organic Landing,1,February,Tuesday,1,9,4,False,1,March,Wednesday,2,10,12,False,1.0,March,Tuesday,1.0,10,18.0,False
85,U00085,North America,Desktop,2025-06-29 04:40:00+00:00,2025-06-29 22:40:00+00:00,3,False,,0.0,Organic,Organic Landing,2,June,Sunday,6,26,4,True,2,June,Sunday,6,26,22,True,,,,,,,False
86,U00086,Europe,Mobile,2025-01-04 04:41:00+00:00,2025-01-18 01:41:00+00:00,7,False,,0.0,Google Ads,Competitor Search,1,January,Saturday,5,1,4,True,1,January,Saturday,5,3,1,True,,,,,,,False
87,U00087,Europe,Tablet,2025-05-16 10:14:00+00:00,2025-05-26 18:14:56+00:00,6,False,,0.0,Google Ads,Brand Search,2,May,Friday,4,20,10,False,2,May,Monday,0,22,18,False,,,,,,,False
88,U00088,Europe,Tablet,2025-04-14 14:08:00+00:00,2025-04-23 20:08:47+00:00,4,False,,0.0,Organic,Organic Landing,2,April,Monday,0,16,14,False,2,April,Wednesday,2,17,20,False,,,,,,,False
89,U00089,North America,Desktop,2025-06-08 20:33:00+00:00,2025-06-18 03:33:00+00:00,7,False,,0.0,Google Ads,Brand Search,2,June,Sunday,6,23,20,True,2,June,Wednesday,2,25,3,False,,,,,,,False
90,U00090,Asia Pacific,Tablet,2025-02-14 10:50:00+00:00,2025-02-20 10:50:00+00:00,4,False,,0.0,Google Ads,Competitor Search,1,February,Friday,4,7,10,False,1,February,Thursday,3,8,10,False,,,,,,,False
91,U00091,South America,Tablet,2025-01-07 22:46:00+00:00,2025-01-13 10:46:09+00:00,5,False,,0.0,Facebook Ads,Winter Sale,1,January,Tuesday,1,2,22,False,1,January,Monday,0,3,10,False,,,,,,,False
92,U00092,South America,Mobile,2025-03-01 02:55:00+00:00,2025-03-08 11:55:00+00:00,5,False,,0.0,Facebook Ads,Lookalike Audience,1,March,Saturday,5,9,2,True,1,March,Saturday,5,10,11,True,,,,,,,False
93,U00093,Asia Pacific,Mobile,2025-01-04 14:29:01+00:00,2025-01-21 10:29:00+00:00,6,False,,0.0,Facebook Ads,Lookalike Audience,1,January,Saturday,5,1,14,True,1,January,Tuesday,1,4,10,False,,,,,,,False
94,U00094,Europe,Tablet,2025-04-02 18:55:08+00:00,2025-04-19 08:55:00+00:00,6,False,,0.0,Tiktok Ads,Influencer Push,2,April,Wednesday,2,14,18,False,2,April,Saturday,5,16,8,True,,,,,,,False
95,U00095,South America,Tablet,2025-01-04 11:07:00+00:00,2025-01-06 18:07:19+00:00,3,False,,0.0,Google Ads,Brand Search,1,January,Saturday,5,1,11,True,1,January,Monday,0,2,18,False,,,,,,,False
96,U00096,South America,Desktop,2025-06-25 14:52:59+00:00,2025-07-07 20:52:00+00:00,6,False,,0.0,Facebook Ads,Lookalike Audience,2,June,Wednesday,2,26,14,False,3,July,Monday,0,28,20,False,,,,,,,False
97,U00097,Europe,Tablet,2025-04-25 20:11:27+00:00,2025-04-29 02:11:27+00:00,4,False,,0.0,Organic,Organic Landing,2,April,Friday,4,17,20,False,2,April,Tuesday,1,18,2,False,,,,,,,False
98,U00098,Europe,Desktop,2025-02-02 00:09:28+00:00,2025-02-10 23:09:28+00:00,4,False,,0.0,Facebook Ads,Retargeting,1,February,Sunday,6,5,0,True,1,February,Monday,0,7,23,False,,,,,,,False
99,U00099,South America,Desktop,2025-05-29 05:45:00+00:00,2025-06-15 13:45:08+00:00,7,False,,0.0,Google Ads,Competitor Search,2,May,Thursday,3,22,5,False,2,June,Sunday,6,24,13,True,,,,,,,False
100,U00100,Asia Pacific,Desktop,2025-01-29 05:18:29+00:00,2025-02-05 04:18:29+00:00,5,True,2025-02-06 08:18:29+00:00,665.09,Organic,Organic Landing,1,January,Wednesday,2,5,5,False,1,February,Wednesday,2,6,4,False,1.0,February,Thursday,3.0,6,8.0,False
101,U00101,Europe,Tablet,2025-05-18 09:54:00+00:00,2025-05-28 07:54:00+00:00,6,False,,0.0,Facebook Ads,Winter Sale,2,May,Sunday,6,20,9,True,2,May,Wednesday,2,22,7,False,,,,,,,False
102,U00102,Asia Pacific,Mobile,2025-02-21 00:44:00+00:00,2025-03-03 02:44:05+00:00,5,True,2025-02-26 16:44:00+00:00,95.92,Facebook Ads,Lookalike Audience,1,February,Friday,4,8,0,False,1,March,Monday,0,10,2,False,1.0,February,Wednesday,2.0,9,16.0,False
103,U00103,North America,Mobile,2025-01-07 17:21:23+00:00,2025-01-14 22:21:23+00:00,5,False,,0.0,Organic,Organic Landing,1,January,Tuesday,1,2,17,False,1,January,Tuesday,1,3,22,False,,,,,,,False
104,U00104,Europe,Mobile,2025-06-16 04:33:00+00:00,2025-06-22 16:33:53+00:00,4,True,2025-06-17 04:33:00+00:00,748.68,Facebook Ads,Lookalike Audience,2,June,Monday,0,25,4,False,2,June,Sunday,6,25,16,True,2.0,June,Tuesday,1.0,25,4.0,False
105,U00105,North America,Tablet,2025-03-03 14:31:53+00:00,2025-03-09 05:31:53+00:00,3,False,,0.0,Google Ads,Brand Search,1,March,Monday,0,10,14,False,1,March,Sunday,6,10,5,True,,,,,,,False
106,U00106,South America,Desktop,2025-02-26 04:00:00+00:00,2025-03-07 13:00:00+00:00,4,False,,0.0,Tiktok Ads,UGC Campaign,1,February,Wednesday,2,9,4,False,1,March,Friday,4,10,13,False,,,,,,,False
107,U00107,North America,Mobile,2025-03-25 15:08:00+00:00,2025-04-10 07:08:31+00:00,7,False,,0.0,Tiktok Ads,Influencer Push,1,March,Tuesday,1,13,15,False,2,April,Thursday,3,15,7,False,,,,,,,False
108,U00108,South America,Desktop,2025-05-06 05:03:00+00:00,2025-05-12 03:03:02+00:00,3,False,,0.0,Google Ads,Competitor Search,2,May,Tuesday,1,19,5,False,2,May,Monday,0,20,3,False,,,,,,,False
109,U00109,South America,Mobile,2025-03-07 16:40:16+00:00,2025-03-25 18:40:16+00:00,6,True,2025-03-26 15:40:16+00:00,632.91,Tiktok Ads,Influencer Push,1,March,Friday,4,10,16,False,1,March,Tuesday,1,13,18,False,1.0,March,Wednesday,2.0,13,15.0,False
110,U00110,South America,Desktop,2025-04-15 21:59:34+00:00,2025-04-19 15:59:34+00:00,2,False,,0.0,Organic,SEO Blog,2,April,Tuesday,1,16,21,False,2,April,Saturday,5,16,15,True,,,,,,,False
111,U00111,Asia Pacific,Desktop,2025-02-10 10:45:00+00:00,2025-02-24 09:45:58+00:00,5,False,,0.0,Google Ads,Generic Search,1,February,Monday,0,7,10,False,1,February,Monday,0,9,9,False,,,,,,,False
