,customer_key,user_id,region,primary_device,first_touch_date,last_touch_date,total_touchpoints,conversion_flag,conversion_date,customer_lifetime_revenue,acquisition_channel,acquisition_campaign
101,102,U00102,Asia Pacific,Mobile,2025-02-21,2025-03-03,5,True,2025-02-26,95.92,Facebook Ads,Lookalike Audience
102,103,U00103,North America,Mobile,2025-01-07,2025-01-14,5,False,,0.0,Organic Search,Organic Landing
103,104,U00104,Europe,Mobile,2025-06-16,2025-06-22,4,True,2025-06-17,748.68,Facebook Ads,Lookalike Audience
104,105,U00105,North America,Tablet,2025-03-03,2025-03-09,3,False,,0.0,Google Ads,Brand Search
105,106,U00106,South America,Desktop,2025-02-26,2025-03-07,4,False,,0.0,TikTok Ads,UGC Campaign
106,107,U00107,North America,Mobile,2025-03-25,2025-04-10,7,False,,0.0,TikTok Ads,Influencer Push
107,108,U00108,South America,Desktop,2025-05-06,2025-05-12,3,False,,0.0,Google Ads,Competitor Search
108,109,U00109,South America,Mobile,2025-03-07,2025-03-25,6,True,2025-03-26,632.91,TikTok Ads,Influencer Push
109,110,U00110,South America,Desktop,2025-04-15,2025-04-19,2,False,,0.0,Organic Search,SEO Blog
110,111,U00111,Asia Pacific,Desktop,2025-02-10,2025-02-24,5,False,,0.0,Google Ads,Generic Search
111,112,U00112,South America,Desktop,2025-06-02,2025-06-12,4,False,,0.0,Organic Search,Organic Landing
112,113,U00113,Asia Pacific,Tablet,2025-04-27,2025-05-09,7,True,2025-05-07,541.62,Organic Search,Organic Landing
113,114,U00114,North America,Tablet,2025-05-04,2025-05-15,5,True,2025-05-13,999.71,Organic Search,SEO Blog
114,115,U00115,South America,Tablet,2025-02-23,2025-02-28,2,False,,0.0,Organic Search,Organic Landing
115,116,U00116,North America,Mobile,2025-03-10,2025-03-12,2,False,,0.0,Facebook Ads,Lookalike Audience
116,117,U00117,South America,Desktop,2025-06-16,2025-06-18,3,False,,0.0,Organic Search,SEO Blog
117,118,U00118,South America,Tablet,2025-04-15,2025-05-03,7,False,,0.0,Facebook Ads,Retargeting
118,119,U00119,North America,Desktop,2025-03-03,2025-03-23,7,False,,0.0,Google Ads,Competitor Search
119,120,U00120,South America,Mobile,2025-01-08,2025-01-20,6,False,,0.0,Facebook Ads,Winter Sale
120,121,U00121,South America,Tablet,2025-03-09,2025-03-27,6,False,,0.0,Facebook Ads,Lookalike Audience
121,122,U00122,Europe,Tablet,2025-01-09,2025-01-24,6,False,,0.0,Facebook Ads,Retargeting
122,123,U00123,North America,Tablet,2025-01-08,2025-01-19,7,False,,0.0,Google Ads,Brand Search
123,124,U00124,Europe,Desktop,2025-02-25,2025-03-12,6,False,,0.0,Google Ads,Generic Search
124,125,U00125,Asia Pacific,Tablet,2025-06-17,2025-06-30,6,False,,0.0,TikTok Ads,UGC Campaign
125,126,U00126,South America,Desktop,2025-01-20,2025-02-04,7,False,,0.0,Facebook Ads,Lookalike Audience
126,127,U00127,Asia Pacific,Mobile,2025-01-02,2025-01-11,6,False,,0.0,Organic Search,SEO Blog
127,128,U00128,South America,Mobile,2025-04-02,2025-04-09,6,True,2025-04-11,674.68,Organic Search,SEO Blog
128,129,U00129,North America,Mobile,2025-01-29,2025-02-02,4,False,,0.0,Organic Search,SEO Blog
129,130,U00130,South America,Mobile,2025-03-04,2025-03-06,2,True,2025-03-08,1021.83,Facebook Ads,Retargeting
130,131,U00131,Asia Pacific,Mobile,2025-05-09,2025-05-11,2,False,,0.0,Organic Search,SEO Blog
131,132,U00132,North America,Tablet,2025-06-08,2025-06-18,4,False,,0.0,Facebook Ads,Retargeting
132,133,U00133,South America,Desktop,2025-02-27,2025-03-08,5,False,,0.0,Organic Search,Organic Landing
133,134,U00134,North America,Mobile,2025-05-11,2025-05-25,7,False,,0.0,Organic Search,Organic Landing
134,135,U00135,Asia Pacific,Tablet,2025-01-08,2025-01-09,3,False,,0.0,Organic Search,Organic Landing
135,136,U00136,North America,Tablet,2025-02-25,2025-03-14,7,True,2025-03-17,1062.99,Facebook Ads,Winter Sale
136,137,U00137,South America,Desktop,2025-05-16,2025-05-19,2,False,,0.0,TikTok Ads,Influencer Push
137,138,U00138,Asia Pacific,Desktop,2025-05-22,2025-06-01,6,False,,0.0,TikTok Ads,UGC Campaign
138,139,U00139,North America,Mobile,2025-03-12,2025-04-01,7,False,,0.0,Google Ads,Brand Search
139,140,U00140,North America,Desktop,2025-03-31,2025-04-15,7,False,,0.0,Google Ads,Generic Search
140,141,U00141,Europe,Tablet,2025-03-16,2025-03-21,2,False,,0.0,TikTok Ads,UGC Campaign
141,142,U00142,Asia Pacific,Mobile,2025-03-09,2025-03-19,6,False,,0.0,Facebook Ads,Lookalike Audience
142,143,U00143,North America,Desktop,2025-01-11,2025-01-17,3,False,,0.0,Facebook Ads,Winter Sale
143,144,U00144,Europe,Mobile,2025-03-05,2025-03-08,3,True,2025-03-09,582.96,Facebook Ads,Winter Sale
144,145,U00145,South America,Desktop,2025-03-06,2025-03-22,7,False,,0.0,Organic Search,SEO Blog
145,146,U00146,Asia Pacific,Mobile,2025-04-18,2025-04-27,3,False,,0.0,Google Ads,Generic Search
146,147,U00147,Europe,Mobile,2025-03-31,2025-04-10,6,False,,0.0,Facebook Ads,Retargeting
147,148,U00148,South America,Desktop,2025-04-18,2025-04-24,4,False,,0.0,Google Ads,Generic Search
148,149,U00149,Europe,Tablet,2025-04-08,2025-04-11,3,False,,0.0,TikTok Ads,Awareness Blast
149,150,U00150,Europe,Tablet,2025-02-07,2025-02-16,6,False,,0.0,Google Ads,Generic Search
150,151,U00151,Asia Pacific,Tablet,2025-04-08,2025-04-18,7,True,2025-04-17,1152.79,Facebook Ads,Winter Sale
151,152,U00152,Asia Pacific,Mobile,2025-02-18,2025-03-07,7,False,,0.0,Organic Search,SEO Blog
152,153,U00153,Asia Pacific,Tablet,2025-06-27,2025-07-16,6,False,,0.0,Organic Search,SEO Blog
153,154,U00154,Asia Pacific,Mobile,2025-02-09,2025-02-24,7,False,,0.0,Facebook Ads,Lookalike Audience
154,155,U00155,Europe,Mobile,2025-06-14,2025-06-27,6,False,,0.0,Google Ads,Generic Search
155,156,U00156,North America,Desktop,2025-03-06,2025-03-16,7,False,,0.0,Google Ads,Generic Search
156,157,U00157,Europe,Desktop,2025-06-01,2025-06-15,6,False,,0.0,TikTok Ads,UGC Campaign
157,158,U00158,North America,Desktop,2025-03-06,2025-03-15,5,False,,0.0,Google Ads,Generic Search
158,159,U00159,Europe,Desktop,2025-04-03,2025-04-17,6,False,,0.0,Google Ads,Brand Search
159,160,U00160,Europe,Mobile,2025-05-31,2025-06-08,3,False,,0.0,Organic Search,SEO Blog
160,161,U00161,Europe,Tablet,2025-05-15,2025-05-27,7,False,,0.0,TikTok Ads,Awareness Blast
161,162,U00162,Asia Pacific,Tablet,2025-02-03,2025-02-16,6,False,,0.0,TikTok Ads,Awareness Blast
162,163,U00163,Asia Pacific,Desktop,2025-05-04,2025-05-21,7,False,,0.0,TikTok Ads,Awareness Blast
163,164,U00164,South America,Mobile,2025-03-12,2025-03-26,4,False,,0.0,Google Ads,Brand Search
164,165,U00165,South America,Tablet,2025-03-02,2025-03-16,7,False,,0.0,Google Ads,Competitor Search
165,166,U00166,Europe,Desktop,2025-02-16,2025-02-19,2,False,,0.0,Organic Search,SEO Blog
166,167,U00167,North America,Mobile,2025-05-29,2025-06-01,2,False,,0.0,TikTok Ads,UGC Campaign
167,168,U00168,South America,Desktop,2025-01-24,2025-02-08,4,False,,0.0,Facebook Ads,Retargeting
168,169,U00169,South America,Mobile,2025-04-12,2025-04-17,3,False,,0.0,TikTok Ads,Awareness Blast
169,170,U00170,Europe,Mobile,2025-06-13,2025-06-17,3,False,,0.0,Organic Search,Organic Landing
170,171,U00171,North America,Tablet,2025-01-31,2025-02-10,5,False,,0.0,Facebook Ads,Retargeting
171,172,U00172,Asia Pacific,Tablet,2025-01-22,2025-02-02,7,False,,0.0,Facebook Ads,Lookalike Audience
172,173,U00173,Asia Pacific,Desktop,2025-04-06,2025-04-07,2,False,,0.0,Google Ads,Brand Search
173,174,U00174,Europe,Desktop,2025-03-18,2025-03-28,5,True,2025-03-28,813.86,Facebook Ads,Winter Sale
174,175,U00175,South America,Desktop,2025-03-29,2025-04-07,5,False,,0.0,Organic Search,Organic Landing
175,176,U00176,Asia Pacific,Mobile,2025-01-31,2025-02-15,5,False,,0.0,Google Ads,Generic Search
176,177,U00177,Europe,Desktop,2025-06-12,2025-06-14,4,False,,0.0,Google Ads,Brand Search
177,178,U00178,North America,Desktop,2025-04-30,2025-05-14,5,False,,0.0,TikTok Ads,UGC Campaign
178,179,U00179,Europe,Tablet,2025-04-15,2025-05-01,6,False,,0.0,Google Ads,Generic Search
179,180,U00180,South America,Desktop,2025-01-30,2025-02-07,4,False,,0.0,Facebook Ads,Winter Sale
180,181,U00181,South America,Mobile,2025-03-10,2025-03-16,4,False,,0.0,Google Ads,Competitor Search
181,182,U00182,Asia Pacific,Desktop,2025-05-28,2025-06-05,4,False,,0.0,TikTok Ads,Awareness Blast
182,183,U00183,Asia Pacific,Mobile,2025-05-31,2025-06-06,4,False,,0.0,Google Ads,Generic Search
183,184,U00184,South America,Tablet,2025-04-14,2025-04-29,7,False,,0.0,Organic Search,SEO Blog
184,185,U00185,North America,Desktop,2025-05-06,2025-05-16,5,False,,0.0,Facebook Ads,Retargeting
185,186,U00186,Asia Pacific,Mobile,2025-02-24,2025-03-02,6,False,,0.0,Facebook Ads,Lookalike Audience
186,187,U00187,North America,Tablet,2025-05-31,2025-06-11,5,False,,0.0,Google Ads,Brand Search
187,188,U00188,North America,Mobile,2025-03-03,2025-03-10,7,False,,0.0,Facebook Ads,Winter Sale
188,189,U00189,Asia Pacific,Mobile,2025-01-06,2025-01-12,4,True,2025-01-14,644.88,Organic Search,SEO Blog
189,190,U00190,South America,Tablet,2025-03-21,2025-03-28,5,False,,0.0,Facebook Ads,Lookalike Audience
190,191,U00191,South America,Tablet,2025-05-14,2025-05-16,2,False,,0.0,TikTok Ads,UGC Campaign
191,192,U00192,Asia Pacific,Tablet,2025-03-21,2025-04-02,8,True,2025-04-05,1085.99,TikTok Ads,UGC Campaign
192,193,U00193,Asia Pacific,Mobile,2025-01-01,2025-01-08,6,False,,0.0,TikTok Ads,UGC Campaign
193,194,U00194,Asia Pacific,Tablet,2025-05-26,2025-06-01,3,False,,0.0,Google Ads,Generic Search
194,195,U00195,Europe,Tablet,2025-05-25,2025-06-04,7,False,,0.0,TikTok Ads,UGC Campaign
195,196,U00196,Europe,Tablet,2025-02-14,2025-03-03,6,False,,0.0,TikTok Ads,Influencer Push
196,197,U00197,Europe,Desktop,2025-03-24,2025-03-25,2,True,2025-03-25,1095.64,Organic Search,SEO Blog
197,198,U00198,Asia Pacific,Desktop,2025-04-09,2025-04-13,2,False,,0.0,Facebook Ads,Lookalike Audience
198,199,U00199,South America,Mobile,2025-02-16,2025-02-17,2,False,,0.0,Facebook Ads,Winter Sale
199,200,U00200,Asia Pacific,Mobile,2025-05-18,2025-05-26,5,True,2025-05-27,103.82,TikTok Ads,UGC Campaign
200,201,U00201,Europe,Tablet,2025-04-11,2025-04-26,6,True,2025-04-26,178.63,Organic Search,SEO Blog
201,202,U00202,South America,Desktop,2025-06-23,2025-07-12,6,False,,0.0,Organic Search,Organic Landing
202,203,U00203,North America,Desktop,2025-06-11,2025-06-29,7,False,,0.0,Organic Search,Organic Landing
203,204,U00204,Asia Pacific,Mobile,2025-02-22,2025-02-27,5,False,,0.0,Organic Search,SEO Blog
204,205,U00205,Asia Pacific,Mobile,2025-04-23,2025-05-11,7,False,,0.0,Facebook Ads,Lookalike Audience
205,206,U00206,North America,Desktop,2025-06-23,2025-07-08,6,False,,0.0,Facebook Ads,Winter Sale
206,207,U00207,Europe,Desktop,2025-02-28,2025-02-28,2,False,,0.0,Google Ads,Competitor Search
207,208,U00208,Europe,Mobile,2025-04-19,2025-04-21,2,False,,0.0,TikTok Ads,UGC Campaign
208,209,U00209,Asia Pacific,Mobile,2025-05-28,2025-06-05,3,False,,0.0,Organic Search,SEO Blog
209,210,U00210,Europe,Mobile,2025-03-05,2025-03-20,7,False,,0.0,Facebook Ads,Lookalike Audience
210,211,U00211,Asia Pacific,Tablet,2025-02-24,2025-03-03,3,False,,0.0,TikTok Ads,UGC Campaign
211,212,U00212,Asia Pacific,Desktop,2025-02-22,2025-03-06,6,False,,0.0,Facebook Ads,Lookalike Audience
212,213,U00213,North America,Tablet,2025-06-03,2025-06-04,2,False,,0.0,Facebook Ads,Retargeting
213,214,U00214,South America,Mobile,2025-03-17,2025-03-28,5,False,,0.0,Facebook Ads,Lookalike Audience
214,215,U00215,South America,Tablet,2025-02-05,2025-02-21,7,False,,0.0,Google Ads,Competitor Search
215,216,U00216,Europe,Mobile,2025-03-18,2025-03-19,2,False,,0.0,Google Ads,Brand Search
216,217,U00217,Europe,Desktop,2025-01-19,2025-01-22,2,False,,0.0,Google Ads,Competitor Search
217,218,U00218,North America,Tablet,2025-03-09,2025-03-12,2,False,,0.0,Organic Search,Organic Landing
218,219,U00219,Asia Pacific,Tablet,2025-02-28,2025-03-04,5,False,,0.0,Google Ads,Generic Search
219,220,U00220,North America,Desktop,2025-06-02,2025-06-05,3,False,,0.0,Facebook Ads,Lookalike Audience
220,221,U00221,Asia Pacific,Tablet,2025-06-24,2025-07-11,7,False,,0.0,TikTok Ads,UGC Campaign
221,222,U00222,Asia Pacific,Tablet,2025-01-21,2025-02-05,5,False,,0.0,Google Ads,Brand Search
222,223,U00223,Asia Pacific,Tablet,2025-04-17,2025-04-23,4,False,,0.0,Google Ads,Brand Search
223,224,U00224,North America,Desktop,2025-05-02,2025-05-02,2,False,,0.0,Facebook Ads,Lookalike Audience
224,225,U00225,South America,Desktop,2025-01-14,2025-01-27,6,False,,0.0,Facebook Ads,Lookalike Audience
225,226,U00226,Asia Pacific,Desktop,2025-01-21,2025-01-23,2,False,,0.0,Google Ads,Competitor Search
226,227,U00227,South America,Mobile,2025-01-10,2025-01-11,2,False,,0.0,TikTok Ads,Awareness Blast
227,228,U00228,North America,Desktop,2025-02-08,2025-02-12,2,True,2025-02-15,1158.78,Facebook Ads,Lookalike Audience
228,229,U00229,North America,Tablet,2025-06-18,2025-06-25,3,False,,0.0,TikTok Ads,Influencer Push
229,230,U00230,Europe,Tablet,2025-04-28,2025-05-15,6,False,,0.0,TikTok Ads,Influencer Push
230,231,U00231,North America,Tablet,2025-03-12,2025-03-15,2,False,,0.0,Google Ads,Generic Search
231,232,U00232,South America,Mobile,2025-02-13,2025-02-14,3,False,,0.0,TikTok Ads,Awareness Blast
232,233,U00233,South America,Tablet,2025-06-17,2025-06-24,4,False,,0.0,Facebook Ads,Retargeting
233,234,U00234,Asia Pacific,Mobile,2025-05-23,2025-06-11,6,False,,0.0,TikTok Ads,Influencer Push
234,235,U00235,Europe,Tablet,2025-02-02,2025-02-02,2,False,,0.0,Organic Search,Organic Landing
235,236,U00236,South America,Desktop,2025-01-31,2025-02-15,7,True,2025-02-18,537.78,Facebook Ads,Lookalike Audience
236,237,U00237,North America,Desktop,2025-06-16,2025-07-02,7,True,2025-06-28,156.84,Facebook Ads,Lookalike Audience
237,238,U00238,Asia Pacific,Tablet,2025-05-02,2025-05-10,5,False,,0.0,TikTok Ads,UGC Campaign
238,239,U00239,North America,Mobile,2025-01-08,2025-01-16,3,False,,0.0,Facebook Ads,Retargeting
239,240,U00240,North America,Desktop,2025-04-16,2025-05-02,6,True,2025-05-03,348.12,Facebook Ads,Winter Sale
240,241,U00241,South America,Mobile,2025-02-28,2025-03-17,7,False,,0.0,Facebook Ads,Lookalike Audience
241,242,U00242,Asia Pacific,Mobile,2025-02-07,2025-02-12,3,True,2025-02-15,469.34,Organic Search,Organic Landing
242,243,U00243,Europe,Tablet,2025-02-14,2025-02-19,3,False,,0.0,Organic Search,Organic Landing
243,244,U00244,Asia Pacific,Desktop,2025-03-21,2025-03-31,6,False,,0.0,Facebook Ads,Winter Sale
244,245,U00245,Europe,Tablet,2025-03-05,2025-03-12,4,False,,0.0,Organic Search,SEO Blog
245,246,U00246,Asia Pacific,Mobile,2025-02-02,2025-02-10,6,False,,0.0,Facebook Ads,Winter Sale
246,247,U00247,Europe,Desktop,2025-03-28,2025-04-14,8,False,,0.0,Google Ads,Competitor Search
